Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Time@Edge(1)
,,,2023-05-18 20:35:26.355,5.1141E-08
,,,2023-05-18 20:35:26.993,5.0532E-08
,,,2023-05-18 20:35:27.631,4.9838E-08
,,,2023-05-18 20:35:28.266,4.8762E-08
,,,2023-05-18 20:35:28.897,4.9819E-08
,,,2023-05-18 20:35:29.530,5.1135E-08
,,,2023-05-18 20:35:30.171,5.0237E-08
,,,2023-05-18 20:35:30.812,5.0151E-08
,,,2023-05-18 20:35:31.448,4.8688E-08
,,,2023-05-18 20:35:32.085,4.9638E-08
,,,2023-05-18 20:35:32.727,5.0045E-08
,,,2023-05-18 20:35:33.362,5.0064E-08
,,,2023-05-18 20:35:34.000,4.9616E-08
,,,2023-05-18 20:35:34.634,4.8831E-08
,,,2023-05-18 20:35:35.262,5.0397E-08
,,,2023-05-18 20:35:35.893,4.9103E-08
,,,2023-05-18 20:35:36.535,5.071E-08
,,,2023-05-18 20:35:37.159,4.9321E-08
,,,2023-05-18 20:35:37.796,4.8845E-08
,,,2023-05-18 20:35:38.437,4.8655E-08
,,,2023-05-18 20:35:39.071,5.199E-08
,,,2023-05-18 20:35:39.710,4.7307E-08
,,,2023-05-18 20:35:40.351,4.8788E-08
,,,2023-05-18 20:35:40.986,4.8983E-08
,,,2023-05-18 20:35:41.626,4.9175E-08
,,,2023-05-18 20:35:42.263,5.0922E-08
,,,2023-05-18 20:35:42.906,5.0262E-08
,,,2023-05-18 20:35:43.544,4.9246E-08
,,,2023-05-18 20:35:44.188,4.9858E-08
,,,2023-05-18 20:35:44.825,5.1032E-08
,,,2023-05-18 20:35:45.465,4.8864E-08
,,,2023-05-18 20:35:46.106,4.9671E-08
,,,2023-05-18 20:35:46.740,4.9825E-08
,,,2023-05-18 20:35:47.376,4.9469E-08
,,,2023-05-18 20:35:48.015,4.8412E-08
,,,2023-05-18 20:35:48.654,4.8245E-08
,,,2023-05-18 20:35:49.296,4.7459E-08
,,,2023-05-18 20:35:49.937,4.975E-08
,,,2023-05-18 20:35:50.576,4.9368E-08
,,,2023-05-18 20:35:51.214,4.8698E-08
,,,2023-05-18 20:35:51.850,4.9327E-08
,,,2023-05-18 20:35:52.488,5.0148E-08
,,,2023-05-18 20:35:53.128,4.8845E-08
,,,2023-05-18 20:35:53.766,4.9269E-08
,,,2023-05-18 20:35:54.401,4.6799E-08
,,,2023-05-18 20:35:55.039,5.1742E-08
,,,2023-05-18 20:35:55.681,5.1093E-08
,,,2023-05-18 20:35:56.317,4.8615E-08
,,,2023-05-18 20:35:56.956,4.8657E-08
,,,2023-05-18 20:35:57.594,4.7668E-08
,,,2023-05-18 20:35:58.229,4.834E-08
,,,2023-05-18 20:35:58.861,5.0214E-08
,,,2023-05-18 20:35:59.502,5.0388E-08
,,,2023-05-18 20:36:00.137,4.8885E-08
,,,2023-05-18 20:36:00.772,4.8318E-08
,,,2023-05-18 20:36:01.417,5.0241E-08
,,,2023-05-18 20:36:02.055,4.972E-08
,,,2023-05-18 20:36:02.693,5.0177E-08
,,,2023-05-18 20:36:03.336,4.8529E-08
,,,2023-05-18 20:36:03.976,4.8725E-08
,,,2023-05-18 20:36:04.619,5.0763E-08
,,,2023-05-18 20:36:05.258,4.9471E-08
,,,2023-05-18 20:36:05.899,4.7941E-08
,,,2023-05-18 20:36:06.535,5.0788E-08
,,,2023-05-18 20:36:07.176,5.1026E-08
,,,2023-05-18 20:36:07.815,4.8708E-08
,,,2023-05-18 20:36:08.453,5.1651E-08
,,,2023-05-18 20:36:09.096,5.0457E-08
,,,2023-05-18 20:36:09.728,4.8149E-08
,,,2023-05-18 20:36:10.367,4.9671E-08
,,,2023-05-18 20:36:11.011,5.0154E-08
,,,2023-05-18 20:36:11.650,5.1055E-08
,,,2023-05-18 20:36:12.292,5.0233E-08
,,,2023-05-18 20:36:12.927,5.0458E-08
,,,2023-05-18 20:36:13.566,5.0995E-08
,,,2023-05-18 20:36:14.204,4.9204E-08
,,,2023-05-18 20:36:14.835,4.9285E-08
,,,2023-05-18 20:36:15.473,4.9291E-08
,,,2023-05-18 20:36:16.114,5.0557E-08
,,,2023-05-18 20:36:16.752,5.0767E-08
,,,2023-05-18 20:36:17.391,4.9965E-08
,,,2023-05-18 20:36:18.034,5.2533E-08
,,,2023-05-18 20:36:18.668,4.9446E-08
,,,2023-05-18 20:36:19.305,5.1459E-08
,,,2023-05-18 20:36:19.940,4.7038E-08
,,,2023-05-18 20:36:20.571,4.9308E-08
